=== bebygdSamferdsel ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
62 | jordbrukInnmarksbeiteTresattFuru        | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 58
63 | jordbrukInnmarksbeiteTresattFuru        | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 879
64 | jordbrukInnmarksbeiteTresattFuru        | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 5
65 | jordbrukInnmarksbeiteTresattGran        | Fritidsbebyggelse        | FritidsBeb               | jorddekt         | 1
66 | jordbrukInnmarksbeiteTresattGran        | GroenneOmr               | Lekeplass                | jorddekt         | 1
67 | jordbrukInnmarksbeiteTresattGran        | IdrettsOmr               | Alpinanlegg              | jorddekt         | 2
68 | jordbrukInnmarksbeiteTresattGran        | LandbrukFiske            | TunOmr                   | jorddekt         | 5
69 | jordbrukInnmarksbeiteTresattGran        | UklassifisertBeb         | UklassifisertBeb         | jorddekt         | 1
70 | jordbrukInnmarksbeiteTresattGran        | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 57
71 | jordbrukInnmarksbeiteTresattGran        | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 2628
72 | jordbrukInnmarksbeiteTresattGran        | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 19
73 | jordbrukInnmarksbeiteTresattLauv        | Fritidsbebyggelse        | FritidsBeb               | jorddekt         | 1
74 | jordbrukInnmarksbeiteTresattLauv        | GroenneOmr               | GravUrnelund             | jorddekt         | 1
75 | jordbrukInnmarksbeiteTresattLauv        | GroenneOmr               | Lekeplass                | jorddekt         | 2
76 | jordbrukInnmarksbeiteTresattLauv        | IdrettsOmr               | Alpinanlegg              | grunnlendt       | 3
77 | jordbrukInnmarksbeiteTresattLauv        | IdrettsOmr               | Alpinanlegg              | jorddekt         | 10
78 | jordbrukInnmarksbeiteTresattLauv        | IdrettsOmr               | Golfanlegg               | jorddekt         | 1
79 | jordbrukInnmarksbeiteTresattLauv        | LandbrukFiske            | TunOmr                   | jorddekt         | 39
80 | jordbrukInnmarksbeiteTresattLauv        | LandbrukFiske            | UtmarksBeb               | jorddekt         | 1
81 | jordbrukInnmarksbeiteTresattLauv        | NaeringTjeneste          | Bergverk                 | jorddekt         | 1
82 | jordbrukInnmarksbeiteTresattLauv        | NaeringTjeneste          | OvernattingMm            | jorddekt         | 1
83 | jordbrukInnmarksbeiteTresattLauv        | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 251
84 | jordbrukInnmarksbeiteTresattLauv        | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 5272
85 | jordbrukInnmarksbeiteTresattLauv        | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 55
86 | jordbrukOverflatedyrka                  | Boligbebyggelse          | FrittliggSmaahus         | jorddekt         | 2
87 | jordbrukOverflatedyrka                  | Fritidsbebyggelse        | FritidsBeb               | jorddekt         | 2
88 | jordbrukOverflatedyrka                  | GroenneOmr               | GravUrnelund             | jorddekt         | 1
89 | jordbrukOverflatedyrka                  | GroenneOmr               | Lekeplass                | jorddekt         | 3
90 | jordbrukOverflatedyrka                  | IdrettsOmr               | Alpinanlegg              | jorddekt         | 10
91 | jordbrukOverflatedyrka                  | IdrettsOmr               | Skytebane                | organiskeJordlag | 1
92 | jordbrukOverflatedyrka                  | KulturReligion           | MuseerBibliotek          | jorddekt         | 1
93 | jordbrukOverflatedyrka                  | LandbrukFiske            | TunOmr                   | grunnlendt       | 1
94 | jordbrukOverflatedyrka                  | LandbrukFiske            | TunOmr                   | jorddekt         | 59
95 | jordbrukOverflatedyrka                  | NaeringTjeneste          | Bergverk                 | jorddekt         | 5
96 | jordbrukOverflatedyrka                  | NaeringTjeneste          | OvernattingMm            | jorddekt         | 4
97 | jordbrukOverflatedyrka                  | UklassifisertBeb         | UklassifisertBeb         | jorddekt         | 1
98 | jordbrukOverflatedyrka                  | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 72
99 | jordbrukOverflatedyrka                  | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 2355
100 | jordbrukOverflatedyrka                  | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 52
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------

=== myr ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------
 1 | myrApen                                 | IdrettsOmr               | Alpinanlegg              | organiskeJordlag | 58
 2 | myrApen                                 | IdrettsOmr               | Golfanlegg               | organiskeJordlag | 21
 3 | myrApen                                 | IdrettsOmr               | Skytebane                | organiskeJordlag | 12
 4 | myrApen                                 | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 52040
 5 | myrTresattBarblanding                   | IdrettsOmr               | Golfanlegg               | organiskeJordlag | 1
 6 | myrTresattBarblanding                   | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 1576
 7 | myrTresattBlanding                      | IdrettsOmr               | Golfanlegg               | organiskeJordlag | 1
 8 | myrTresattBlanding                      | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 659
 9 | myrTresattFuru                          | IdrettsOmr               | Alpinanlegg              | organiskeJordlag | 1
10 | myrTresattFuru                          | IdrettsOmr               | Golfanlegg               | organiskeJordlag | 2
11 | myrTresattFuru                          | IdrettsOmr               | Skytebane                | organiskeJordlag | 5
12 | myrTresattFuru                          | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 10786
13 | myrTresattGran                          | IdrettsOmr               | Alpinanlegg              | organiskeJordlag | 2
14 | myrTresattGran                          | IdrettsOmr               | Skytebane                | organiskeJordlag | 1
15 | myrTresattGran                          | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 12760
16 | myrTresattLauv                          | IdrettsOmr               | Alpinanlegg              | organiskeJordlag | 3
17 | myrTresattLauv                          | IdrettsOmr               | Golfanlegg               | organiskeJordlag | 5
18 | myrTresattLauv                          | IdrettsOmr               | Skytebane                | organiskeJordlag | 1
19 | myrTresattLauv                          | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 3189
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------

=== skog ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------
 1 | skogBarblanding                         | GroenneOmr               | Lekeplass                | grunnlendt       | 1
 2 | skogBarblanding                         | GroenneOmr               | Lekeplass                | jorddekt         | 5
 3 | skogBarblanding                         | GroenneOmr               | Park                     | jorddekt         | 1
 4 | skogBarblanding                         | IdrettsOmr               | Alpinanlegg              | grunnlendt       | 2
 5 | skogBarblanding                         | IdrettsOmr               | Alpinanlegg              | jorddekt         | 14
 6 | skogBarblanding                         | IdrettsOmr               | Golfanlegg               | jorddekt         | 13
