arealdekkeniva2,arealbruklandhovedklasse,arealbruklandunderklasse,grunnforhold,ny_arealdekke,fremkommelighet
snaumarkFrisk,GroenneOmr,GravUrnelund,*,GravUrnelund,None
snaumarkFrisk,GroenneOmr,Lekeplass,*,Snaumark,None
snaumarkFrisk,GroenneOmr,*,*,Park,None
snaumarkFrisk,IdrettsOmr,Alpinanlegg,Fjell_i_dagen,Alpinbakke,Fjell_i_dagen
snaumarkFrisk,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
snaumarkFrisk,IdrettsOmr,Golfanlegg,Fjell_i_dagen,Golfbane,Fjell_i_dagen
snaumarkFrisk,IdrettsOmr,Golfanlegg,*,Golfbane,None
snaumarkFrisk,IdrettsOmr,*,Fjell_i_dagen,IdrettsOmr,Fjell_i_dagen
snaumarkFrisk,IdrettsOmr,*,*,IdrettsOmr,None
snaumarkFrisk,*,*,Blokkmark,Snaumark,Blokkmark
snaumarkFrisk,*,*,Fjell_i_dagen,Snaumark,Fjell_i_dagen
snaumarkFrisk,*,*,*,Snaumark,None
snaumarkImpediment,GroenneOmr,GravUrnelund,*,GravUrnelund,None
snaumarkImpediment,GroenneOmr,Lekeplass,*,Snaumark,None
snaumarkImpediment,IdrettsOmr,Alpinanlegg,Fjell_i_dagen,Alpinbakke,Fjell_i_dagen
snaumarkImpediment,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
snaumarkImpediment,IdrettsOmr,Golfanlegg,*,Golfbane,None
snaumarkImpediment,IdrettsOmr,*,*,IdrettsOmr,None
snaumarkImpediment,*,*,Blokkmark,Snaumark,Blokkmark
snaumarkImpediment,*,*,Fjell_i_dagen,Snaumark,Fjell_i_dagen
snaumarkImpediment,*,*,*,Snaumark, None
snaumarkKonstruert,GroenneOmr,GravUrnelund,*,GravUrnelund,None
snaumarkKonstruert,GroenneOmr,Lekeplass,*,Snaumark,None
snaumarkKonstruert,GroenneOmr,*,*,Park,None
snaumarkKonstruert,IdrettsOmr,*,*,IdrettsOmr,None
snaumarkKonstruert,*,*,*,Snaumark,None
snaumarkMiddelsFrisk,GroenneOmr,GravUrnelund,*,GravUrnelund,None
snaumarkMiddelsFrisk,GroenneOmr,Lekeplass,*,Snaumark,None
snaumarkMiddelsFrisk,GroenneOmr,*,*,Park,None
snaumarkMiddelsFrisk,IdrettsOmr,Alpinanlegg,Fjell_i_dagen,Alpinbakke,Fjell_i_dagen
snaumarkMiddelsFrisk,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
snaumarkMiddelsFrisk,IdrettsOmr,Golfanlegg,*,Golfbane,None
snaumarkMiddelsFrisk,IdrettsOmr,*,Fjell_i_dagen,IdrettsOmr,Fjell_i_dagen
snaumarkMiddelsFrisk,IdrettsOmr,*,*,IdrettsOmr,None
snaumarkMiddelsFrisk,*,*,Blokkmark,Snaumark,Blokkmark
snaumarkMiddelsFrisk,*,*,Fjell_i_dagen,Snaumark,Fjell_i_dagen
snaumarkMiddelsFrisk,*,*,*,Snaumark,None
